id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,priority,gender,discount_offered,weight_in_gms,exceeded_deadline,faixa_peso,faixa_desconto
78,F,Ship,3,3,113.0,3,low,F,43.0,1518.0,True,1000-2000,41-50%
79,D,Ship,3,4,223.0,3,low,M,18.0,3959.0,True,3001-4000,11-20%
80,F,Ship,3,5,257.0,2,medium,F,56.0,3711.0,True,3001-4000,51-60%
81,A,Ship,3,4,180.0,2,medium,F,49.0,1942.0,True,1000-2000,41-50%
82,B,Ship,2,5,132.0,3,low,M,18.0,1759.0,True,1000-2000,11-20%
83,C,Ship,4,4,217.0,3,high,F,26.0,2875.0,True,2001-3000,21-30%
84,F,Ship,5,5,162.0,3,high,F,31.0,1364.0,True,1000-2000,31-40%
85,D,Ship,4,5,197.0,2,medium,F,40.0,2710.0,True,2001-3000,31-40%
86,F,Ship,3,4,197.0,3,medium,M,13.0,2148.0,True,2001-3000,11-20%
87,A,Ship,4,1,185.0,2,low,M,44.0,2910.0,True,2001-3000,41-50%
88,B,Ship,6,2,278.0,3,medium,F,3.0,2974.0,True,2001-3000,0-5%
89,C,Ship,3,3,229.0,3,low,M,49.0,2339.0,True,2001-3000,41-50%
90,F,Ship,4,1,186.0,4,medium,F,57.0,3880.0,True,3001-4000,51-60%
91,D,Ship,5,3,174.0,6,high,F,41.0,1085.0,True,1000-2000,41-50%
92,F,Ship,5,5,286.0,3,low,F,18.0,3163.0,True,3001-4000,11-20%
93,A,Ship,4,4,175.0,2,medium,F,7.0,1188.0,True,1000-2000,6-10%
94,B,Ship,3,3,219.0,3,medium,F,17.0,3387.0,True,3001-4000,11-20%
95,C,Ship,4,1,213.0,4,high,F,35.0,2343.0,True,2001-3000,31-40%
96,F,Ship,2,3,235.0,3,low,M,57.0,2034.0,True,2001-3000,51-60%
97,D,Ship,3,3,149.0,2,medium,M,18.0,1225.0,True,1000-2000,11-20%
98,F,Ship,4,1,271.0,2,medium,F,8.0,2401.0,True,2001-3000,6-10%
99,A,Ship,3,5,144.0,4,medium,M,5.0,1104.0,True,1000-2000,0-5%
100,B,Ship,4,2,145.0,2,medium,M,21.0,1617.0,True,1000-2000,21-30%
101,C,Ship,5,3,143.0,2,medium,M,59.0,1837.0,True,1000-2000,51-60%
102,F,Ship,5,5,227.0,4,low,M,53.0,2624.0,True,2001-3000,51-60%
103,D,Ship,2,1,213.0,3,low,M,29.0,2732.0,True,2001-3000,21-30%
104,F,Ship,5,1,144.0,4,low,M,37.0,1658.0,True,1000-2000,31-40%
105,A,Ship,3,3,218.0,3,low,M,3.0,2255.0,True,2001-3000,0-5%
106,B,Ship,4,2,144.0,3,medium,M,59.0,1588.0,True,1000-2000,51-60%
107,C,Ship,3,1,238.0,3,low,M,17.0,2624.0,True,2001-3000,11-20%
108,F,Ship,4,5,216.0,3,high,M,26.0,2053.0,True,2001-3000,21-30%
109,D,Ship,4,5,238.0,3,high,F,55.0,3257.0,True,3001-4000,51-60%
110,F,Ship,4,1,141.0,3,medium,M,47.0,1250.0,True,1000-2000,41-50%
111,A,Road,3,1,158.0,2,low,M,2.0,1284.0,True,1000-2000,0-5%
112,B,Road,4,2,239.0,3,low,F,65.0,3679.0,True,3001-4000,60%+
113,C,Road,4,3,175.0,2,low,M,25.0,1816.0,True,1000-2000,21-30%
114,F,Road,3,2,263.0,3,low,M,41.0,2817.0,True,2001-3000,41-50%
115,D,Road,3,5,168.0,2,high,M,50.0,1616.0,True,1000-2000,41-50%
116,F,Road,3,4,176.0,3,high,M,36.0,1779.0,True,1000-2000,31-40%
117,A,Road,4,1,150.0,4,high,M,60.0,1024.0,True,1000-2000,51-60%
118,B,Road,4,3,265.0,2,medium,F,31.0,2326.0,True,2001-3000,31-40%
119,C,Road,2,5,263.0,3,low,F,5.0,2947.0,True,2001-3000,0-5%
120,F,Road,5,1,145.0,3,low,M,20.0,1387.0,True,1000-2000,11-20%
121,D,Road,4,2,183.0,3,low,F,33.0,2741.0,True,2001-3000,31-40%
122,F,Road,3,3,205.0,3,medium,F,19.0,2167.0,True,2001-3000,11-20%
123,A,Road,4,2,160.0,3,low,M,64.0,1714.0,True,1000-2000,60%+
124,B,Road,3,3,252.0,2,medium,F,48.0,2102.0,True,2001-3000,41-50%
125,C,Road,5,5,222.0,3,low,M,10.0,2280.0,True,2001-3000,6-10%
126,F,Road,3,3,203.0,2,low,M,25.0,3607.0,True,3001-4000,21-30%
127,D,Road,4,5,220.0,3,medium,M,40.0,3516.0,True,3001-4000,31-40%
128,F,Road,3,3,147.0,4,low,F,60.0,1722.0,True,1000-2000,51-60%
129,A,Road,4,4,200.0,4,medium,M,16.0,2060.0,True,2001-3000,11-20%
130,B,Road,4,5,224.0,4,medium,M,21.0,2026.0,True,2001-3000,21-30%
131,C,Road,3,5,179.0,2,low,F,17.0,1364.0,True,1000-2000,11-20%
132,F,Road,3,4,144.0,3,low,M,50.0,1865.0,True,1000-2000,41-50%
133,D,Flight,5,2,247.0,3,low,M,17.0,3889.0,True,3001-4000,11-20%
134,F,Flight,5,4,280.0,6,medium,F,51.0,3582.0,True,3001-4000,51-60%
135,A,Flight,3,3,168.0,2,medium,F,1.0,1829.0,True,1000-2000,0-5%
136,B,Flight,3,5,157.0,3,medium,F,4.0,1889.0,True,1000-2000,0-5%
137,C,Flight,3,3,189.0,4,medium,F,51.0,2208.0,True,2001-3000,51-60%
138,F,Flight,3,5,162.0,2,medium,M,7.0,1739.0,True,1000-2000,6-10%
139,D,Flight,4,1,207.0,5,low,M,48.0,2399.0,True,2001-3000,41-50%
140,F,Flight,5,1,237.0,2,low,F,10.0,3860.0,True,3001-4000,6-10%
141,A,Flight,4,4,264.0,3,high,M,59.0,2020.0,True,2001-3000,51-60%
142,B,Flight,5,4,149.0,3,low,M,51.0,1645.0,True,1000-2000,51-60%
143,C,Flight,5,5,162.0,3,low,M,41.0,1462.0,True,1000-2000,41-50%
144,F,Flight,2,1,205.0,4,medium,F,63.0,2156.0,True,2001-3000,60%+
145,D,Flight,2,1,158.0,3,medium,F,51.0,1540.0,True,1000-2000,51-60%
146,F,Flight,2,2,248.0,2,low,M,46.0,3707.0,True,3001-4000,41-50%
147,A,Flight,3,5,191.0,3,low,M,23.0,3750.0,True,3001-4000,21-30%
148,B,Flight,4,3,146.0,4,medium,F,24.0,1844.0,True,1000-2000,21-30%
149,C,Flight,3,3,135.0,3,low,M,56.0,1490.0,True,1000-2000,51-60%
150,F,Flight,5,1,149.0,3,low,M,40.0,1062.0,True,1000-2000,31-40%
151,D,Flight,4,4,220.0,2,medium,F,7.0,2551.0,True,2001-3000,6-10%
152,F,Flight,5,3,98.0,5,medium,M,44.0,1269.0,True,1000-2000,41-50%
153,A,Flight,3,4,97.0,4,low,M,32.0,1238.0,True,1000-2000,31-40%
154,B,Flight,3,3,183.0,2,low,M,53.0,3932.0,True,3001-4000,51-60%
155,C,Ship,3,3,162.0,3,medium,F,8.0,1869.0,True,1000-2000,6-10%
156,F,Ship,5,1,114.0,4,low,F,47.0,1443.0,True,1000-2000,41-50%
157,D,Ship,6,3,275.0,5,low,M,41.0,2491.0,True,2001-3000,41-50%
158,F,Ship,3,2,203.0,2,medium,F,39.0,3845.0,True,3001-4000,31-40%
159,A,Ship,5,5,205.0,2,high,M,65.0,3671.0,True,3001-4000,60%+
160,B,Ship,3,3,149.0,3,low,F,63.0,1946.0,True,1000-2000,60%+
161,C,Ship,2,2,112.0,4,medium,M,56.0,1138.0,True,1000-2000,51-60%
162,F,Ship,3,1,207.0,3,medium,F,56.0,3482.0,True,3001-4000,51-60%
163,D,Ship,4,1,261.0,4,low,F,58.0,3427.0,True,3001-4000,51-60%
164,F,Ship,5,2,274.0,3,medium,M,6.0,3375.0,True,3001-4000,6-10%
165,A,Ship,3,5,141.0,2,low,M,52.0,1692.0,True,1000-2000,51-60%
166,B,Ship,3,3,166.0,4,medium,F,17.0,1498.0,True,1000-2000,11-20%
167,C,Ship,5,2,141.0,3,high,F,34.0,1020.0,True,1000-2000,31-40%
168,F,Ship,4,5,152.0,3,low,M,43.0,1709.0,True,1000-2000,41-50%
169,D,Ship,4,2,250.0,3,low,F,53.0,2478.0,True,2001-3000,51-60%
170,F,Ship,4,3,161.0,3,medium,F,28.0,1809.0,True,1000-2000,21-30%
171,A,Ship,4,3,185.0,3,medium,F,10.0,2263.0,True,2001-3000,6-10%
172,B,Ship,4,4,176.0,4,high,F,52.0,1096.0,True,1000-2000,51-60%
173,C,Ship,3,4,148.0,3,low,M,56.0,1550.0,True,1000-2000,51-60%
174,F,Ship,3,2,270.0,3,low,F,63.0,2751.0,True,2001-3000,60%+
175,D,Ship,3,3,242.0,3,low,F,51.0,3935.0,True,3001-4000,51-60%
176,F,Ship,4,4,150.0,2,medium,M,3.0,1285.0,True,1000-2000,0-5%
177,A,Ship,4,5,192.0,3,high,M,20.0,3872.0,True,3001-4000,11-20%
178,B,Ship,4,5,116.0,3,medium,M,54.0,1314.0,True,1000-2000,51-60%
179,C,Ship,3,3,192.0,3,medium,F,2.0,3995.0,True,3001-4000,0-5%
180,F,Ship,5,5,255.0,4,medium,M,3.0,3440.0,True,3001-4000,0-5%
181,D,Ship,4,1,161.0,7,medium,F,18.0,1294.0,True,1000-2000,11-20%
182,F,Ship,4,5,157.0,3,low,M,20.0,1487.0,True,1000-2000,11-20%
183,A,Ship,3,2,164.0,10,high,F,28.0,1940.0,True,1000-2000,21-30%
184,B,Ship,3,5,162.0,7,medium,F,16.0,1052.0,True,1000-2000,11-20%
185,C,Ship,3,3,146.0,2,low,M,50.0,1486.0,True,1000-2000,41-50%
186,F,Ship,3,2,209.0,3,medium,M,54.0,3001.0,True,3001-4000,51-60%
187,D,Ship,5,4,134.0,2,medium,F,55.0,1386.0,True,1000-2000,51-60%
188,F,Ship,2,1,222.0,2,medium,M,5.0,3778.0,True,3001-4000,0-5%
189,A,Ship,2,5,139.0,3,low,F,27.0,1233.0,True,1000-2000,21-30%
190,B,Ship,2,4,134.0,3,low,F,42.0,1415.0,True,1000-2000,41-50%
191,C,Ship,2,5,130.0,3,low,M,16.0,1092.0,True,1000-2000,11-20%
192,F,Ship,2,5,133.0,3,low,F,62.0,1596.0,True,1000-2000,60%+
193,D,Ship,2,4,140.0,3,low,F,7.0,1411.0,True,1000-2000,6-10%
194,F,Ship,2,2,158.0,3,low,M,28.0,1968.0,True,1000-2000,21-30%
195,A,Ship,4,2,270.0,4,low,F,46.0,1736.0,True,1000-2000,41-50%
196,B,Ship,2,5,140.0,3,low,F,30.0,1030.0,True,1000-2000,21-30%
197,C,Ship,2,2,135.0,3,low,M,15.0,1339.0,True,1000-2000,11-20%
198,F,Ship,2,3,136.0,3,low,F,19.0,1568.0,True,1000-2000,11-20%
199,D,Ship,2,3,142.0,3,medium,F,38.0,7640.0,True,7000+,31-40%
200,F,Ship,2,2,154.0,3,medium,M,38.0,7846.0,True,7000+,31-40%
201,A,Ship,2,3,139.0,3,low,M,9.0,1471.0,True,1000-2000,6-10%
202,B,Ship,2,3,160.0,3,low,F,43.0,1251.0,True,1000-2000,41-50%
203,C,Ship,2,4,134.0,3,low,M,58.0,1067.0,True,1000-2000,51-60%
204,F,Ship,5,3,161.0,5,high,M,48.0,1883.0,True,1000-2000,41-50%
205,D,Ship,2,5,155.0,3,low,M,23.0,1602.0,True,1000-2000,21-30%
206,F,Ship,2,3,145.0,3,medium,F,24.0,7588.0,True,7000+,21-30%
207,A,Ship,2,2,157.0,3,low,M,1.0,1477.0,True,1000-2000,0-5%
208,B,Ship,2,2,160.0,3,low,M,48.0,1691.0,True,1000-2000,41-50%
209,C,Ship,2,4,152.0,3,low,M,55.0,1498.0,True,1000-2000,51-60%
210,F,Ship,2,5,148.0,3,high,F,11.0,1502.0,True,1000-2000,11-20%
211,D,Ship,2,1,127.0,3,low,F,15.0,1522.0,True,1000-2000,11-20%
212,F,Ship,2,5,154.0,3,low,F,21.0,1113.0,True,1000-2000,21-30%
213,A,Ship,2,5,127.0,3,low,M,44.0,1341.0,True,1000-2000,41-50%
214,B,Ship,2,5,160.0,3,medium,F,31.0,7401.0,True,7000+,31-40%
215,C,Ship,2,4,129.0,3,low,F,48.0,1219.0,True,1000-2000,41-50%
216,F,Ship,2,5,158.0,3,low,F,40.0,1722.0,True,1000-2000,31-40%
217,D,Ship,4,3,185.0,3,medium,M,3.0,3131.0,True,3001-4000,0-5%
218,F,Ship,4,4,176.0,4,high,F,63.0,1293.0,True,1000-2000,60%+
219,A,Ship,3,4,148.0,3,low,M,37.0,1523.0,True,1000-2000,31-40%
220,B,Ship,3,5,270.0,3,low,M,60.0,3885.0,True,3001-4000,51-60%
221,C,Ship,3,4,242.0,3,low,M,29.0,2381.0,True,2001-3000,21-30%
222,F,Ship,4,3,150.0,2,medium,M,31.0,1588.0,True,1000-2000,31-40%
223,D,Ship,4,2,192.0,3,high,M,4.0,2061.0,True,2001-3000,0-5%
224,F,Ship,4,5,116.0,3,medium,F,9.0,1314.0,True,1000-2000,6-10%
225,A,Ship,3,4,192.0,3,medium,F,31.0,3331.0,True,3001-4000,31-40%
226,B,Ship,5,4,255.0,4,medium,F,38.0,2771.0,True,2001-3000,31-40%
227,C,Ship,4,3,161.0,7,medium,M,63.0,1496.0,True,1000-2000,60%+
228,F,Ship,4,2,157.0,3,low,F,48.0,1393.0,True,1000-2000,41-50%
229,D,Ship,3,2,164.0,10,high,M,14.0,1375.0,True,1000-2000,11-20%
230,F,Ship,3,3,162.0,7,medium,F,42.0,1278.0,True,1000-2000,41-50%
231,A,Ship,3,1,146.0,2,low,F,54.0,1528.0,True,1000-2000,51-60%
232,B,Ship,3,4,209.0,3,medium,F,60.0,2240.0,True,2001-3000,51-60%
233,C,Ship,5,5,134.0,2,medium,M,53.0,1088.0,True,1000-2000,51-60%
234,F,Ship,2,1,222.0,2,medium,M,58.0,3626.0,True,3001-4000,51-60%
235,D,Ship,2,1,139.0,3,low,F,39.0,1582.0,True,1000-2000,31-40%
236,F,Ship,2,2,134.0,3,low,M,38.0,1352.0,True,1000-2000,31-40%
237,A,Ship,2,3,130.0,3,low,F,48.0,1801.0,True,1000-2000,41-50%
238,B,Ship,2,2,133.0,3,low,M,5.0,1268.0,True,1000-2000,0-5%
239,C,Ship,2,3,140.0,3,low,F,23.0,1372.0,True,1000-2000,21-30%
240,F,Ship,2,3,158.0,3,low,M,10.0,1515.0,True,1000-2000,6-10%
241,D,Ship,4,5,270.0,4,low,M,65.0,1818.0,True,1000-2000,60%+
242,F,Ship,2,4,140.0,3,low,F,33.0,1278.0,True,1000-2000,31-40%
243,A,Ship,2,2,135.0,3,low,M,58.0,1734.0,True,1000-2000,51-60%
244,B,Ship,2,4,136.0,3,low,M,43.0,1958.0,True,1000-2000,41-50%
245,C,Ship,2,1,142.0,3,medium,F,8.0,6064.0,True,6001-7000,6-10%
246,F,Ship,2,4,154.0,3,medium,F,48.0,7684.0,True,7000+,41-50%
247,D,Ship,2,3,139.0,3,low,F,3.0,1788.0,True,1000-2000,0-5%
248,F,Road,2,4,160.0,3,low,F,50.0,1030.0,True,1000-2000,41-50%
249,A,Road,2,2,134.0,3,low,F,38.0,1530.0,True,1000-2000,31-40%
250,B,Road,5,5,161.0,5,high,F,54.0,1511.0,True,1000-2000,51-60%
251,C,Road,2,3,155.0,3,low,F,45.0,1639.0,True,1000-2000,41-50%
252,F,Road,2,2,145.0,3,medium,F,5.0,6102.0,True,6001-7000,0-5%
253,D,Road,2,1,157.0,3,low,M,58.0,1930.0,True,1000-2000,51-60%
254,F,Road,2,5,160.0,3,low,F,19.0,1399.0,True,1000-2000,11-20%
255,A,Road,2,2,152.0,3,low,F,61.0,1800.0,True,1000-2000,60%+
256,B,Road,2,2,148.0,3,high,F,35.0,1349.0,True,1000-2000,31-40%
257,C,Road,2,2,127.0,3,low,M,13.0,1128.0,True,1000-2000,11-20%
258,F,Road,2,2,129.0,3,medium,F,22.0,6614.0,True,6001-7000,21-30%
259,D,Road,2,3,158.0,3,low,F,13.0,1245.0,True,1000-2000,11-20%
260,F,Road,2,4,147.0,3,low,M,5.0,1920.0,True,1000-2000,0-5%
261,A,Road,2,5,159.0,3,low,F,49.0,1621.0,True,1000-2000,41-50%
262,B,Road,2,3,151.0,3,low,F,23.0,1930.0,True,1000-2000,21-30%
263,C,Road,3,1,294.0,4,low,F,52.0,1089.0,True,1000-2000,51-60%
264,F,Road,3,2,226.0,2,medium,M,45.0,1446.0,True,1000-2000,41-50%
265,D,Road,5,3,271.0,5,high,M,9.0,1813.0,True,1000-2000,6-10%
266,F,Road,7,2,203.0,5,medium,F,61.0,1856.0,True,1000-2000,60%+
267,A,Road,2,3,264.0,4,low,F,10.0,1648.0,True,1000-2000,6-10%
268,B,Road,4,1,258.0,3,medium,M,36.0,2211.0,True,2001-3000,31-40%
269,C,Road,3,5,241.0,3,low,F,21.0,3078.0,True,3001-4000,21-30%
270,F,Flight,4,5,208.0,3,medium,M,23.0,2056.0,True,2001-3000,21-30%
271,D,Flight,3,2,209.0,5,medium,F,12.0,3054.0,True,3001-4000,11-20%
272,F,Flight,5,1,182.0,2,medium,F,23.0,2707.0,True,2001-3000,21-30%
273,A,Flight,4,5,148.0,2,medium,F,43.0,1087.0,True,1000-2000,41-50%
274,B,Flight,2,3,183.0,2,medium,F,52.0,3199.0,True,3001-4000,51-60%
275,C,Flight,3,5,229.0,6,medium,M,22.0,2717.0,True,2001-3000,21-30%
276,F,Flight,5,5,115.0,5,low,F,26.0,1692.0,True,1000-2000,21-30%
277,D,Flight,4,2,136.0,3,low,F,65.0,1962.0,True,1000-2000,60%+
278,F,Flight,4,4,212.0,3,low,M,21.0,3307.0,True,3001-4000,21-30%
279,A,Flight,4,3,171.0,3,low,F,24.0,1304.0,True,1000-2000,21-30%
280,B,Flight,3,1,151.0,2,low,M,60.0,1925.0,True,1000-2000,51-60%
281,C,Flight,3,1,205.0,3,medium,M,39.0,3062.0,True,3001-4000,31-40%
282,F,Flight,5,4,147.0,3,medium,M,23.0,1132.0,True,1000-2000,21-30%
283,D,Flight,3,3,155.0,3,low,F,29.0,1712.0,True,1000-2000,21-30%
284,F,Flight,5,4,165.0,3,low,F,20.0,1150.0,True,1000-2000,11-20%
285,A,Flight,5,5,230.0,3,low,F,32.0,3249.0,True,3001-4000,31-40%
286,B,Flight,2,4,181.0,4,medium,M,13.0,2309.0,True,2001-3000,11-20%
287,C,Flight,5,3,234.0,2,low,F,55.0,3308.0,True,3001-4000,51-60%
288,F,Flight,4,4,149.0,3,low,M,34.0,1977.0,True,1000-2000,31-40%
289,D,Flight,5,5,156.0,2,low,M,44.0,1561.0,True,1000-2000,41-50%
290,F,Flight,4,2,172.0,3,medium,F,59.0,1858.0,True,1000-2000,51-60%
291,A,Flight,4,4,270.0,3,low,M,12.0,3279.0,True,3001-4000,11-20%
292,B,Ship,4,1,206.0,3,medium,M,23.0,3807.0,True,3001-4000,21-30%
293,C,Ship,4,3,211.0,4,medium,M,40.0,3106.0,True,3001-4000,31-40%
294,F,Ship,3,2,136.0,4,low,M,62.0,1090.0,True,1000-2000,60%+
295,D,Ship,5,1,186.0,2,high,F,52.0,3981.0,True,3001-4000,51-60%
296,F,Ship,3,1,202.0,2,medium,M,62.0,3398.0,True,3001-4000,60%+
297,A,Ship,4,2,183.0,3,medium,F,12.0,3646.0,True,3001-4000,11-20%
298,B,Ship,4,4,232.0,2,low,M,36.0,2861.0,True,2001-3000,31-40%
299,C,Ship,4,2,147.0,4,medium,M,52.0,1129.0,True,1000-2000,51-60%
300,F,Ship,4,3,136.0,3,medium,M,20.0,1531.0,True,1000-2000,11-20%
301,D,Ship,5,3,127.0,3,low,F,43.0,1446.0,True,1000-2000,41-50%
302,F,Ship,4,5,202.0,2,medium,M,35.0,3695.0,True,3001-4000,31-40%
303,A,Ship,3,4,241.0,2,low,M,57.0,3671.0,True,3001-4000,51-60%
304,B,Ship,4,3,222.0,2,medium,M,55.0,3833.0,True,3001-4000,51-60%
305,C,Ship,3,2,183.0,4,medium,F,12.0,2777.0,True,2001-3000,11-20%
306,F,Ship,4,4,249.0,3,medium,F,36.0,3769.0,True,3001-4000,31-40%
307,D,Ship,3,1,243.0,4,high,M,59.0,3838.0,True,3001-4000,51-60%
308,F,Ship,3,3,163.0,3,medium,M,9.0,1257.0,True,1000-2000,6-10%
309,A,Ship,4,2,165.0,2,high,M,11.0,1596.0,True,1000-2000,11-20%
310,B,Ship,5,5,266.0,3,medium,F,53.0,3089.0,True,3001-4000,51-60%
311,C,Ship,3,4,193.0,2,medium,M,48.0,3909.0,True,3001-4000,41-50%
312,F,Ship,3,2,154.0,3,low,F,56.0,1136.0,True,1000-2000,51-60%
